SectionID,CourseID,Semester,InstructorID
1,1,Fall 2026,1
2,2,Fall 2026,2
3,1,Spring 2027,3
4,908,Spring 2026,1006
5,1063,Spring 2026,677
6,1710,Summer 2026,1337
7,1830,Summer 2026,1030
8,642,Spring 2026,1375
9,1102,Fall 2025,353
10,957,Spring 2026,1670
11,105,Spring 2026,832
12,1296,Spring 2026,179
13,759,Spring 2026,735
14,552,Summer 2026,635
15,1739,Fall 2025,979
16,1558,Fall 2025,304
17,1394,Fall 2025,769
18,762,Spring 2026,998
19,1273,Fall 2025,693
20,1590,Spring 2026,181
21,330,Spring 2026,93
22,701,Fall 2025,1677
23,981,Fall 2025,1179
24,1085,Spring 2026,1942
25,1841,Fall 2025,604
26,1333,Summer 2026,1666
27,499,Fall 2025,1898
28,661,Fall 2025,1991
29,1472,Spring 2026,1072
30,1692,Spring 2026,947
31,1240,Spring 2026,1047
32,26,Spring 2026,62
33,1391,Spring 2026,666
34,1392,Spring 2026,72
35,725,Fall 2025,523
36,662,Spring 2026,61
37,426,Spring 2026,11
38,1582,Summer 2026,647
39,156,Spring 2026,1272
40,460,Spring 2026,1261
41,1478,Spring 2026,502
42,139,Fall 2025,1445
43,1791,Summer 2026,1425
44,178,Summer 2026,84
45,1590,Summer 2026,772
46,89,Fall 2025,1570
47,1752,Summer 2026,944
48,615,Fall 2025,507
49,344,Spring 2026,1777
50,428,Fall 2025,997
51,1963,Spring 2026,1446
52,1098,Fall 2025,265
53,1680,Fall 2025,1940
54,1129,Fall 2025,1849
55,1139,Fall 2025,1504
56,1546,Summer 2026,13
57,620,Fall 2025,1508
58,1783,Spring 2026,1061
59,532,Fall 2025,113
60,644,Spring 2026,1719
61,1452,Fall 2025,1315
62,779,Spring 2026,171
63,1493,Summer 2026,1924
64,585,Fall 2025,959
65,168,Summer 2026,1104
66,1195,Fall 2025,1842
67,1818,Spring 2026,288
68,1926,Fall 2025,1101
69,467,Spring 2026,1713
70,1175,Fall 2025,1208
71,1103,Fall 2025,1799
72,289,Summer 2026,1281
73,961,Summer 2026,93
74,1846,Summer 2026,1991
75,955,Fall 2025,1141
76,1814,Summer 2026,674
77,1846,Fall 2025,1844
78,1860,Fall 2025,1639
79,1179,Summer 2026,1120
80,1371,Fall 2025,500
81,740,Spring 2026,28
82,1173,Fall 2025,549
83,189,Fall 2025,508
84,165,Fall 2025,987
85,1919,Fall 2025,924
86,1524,Fall 2025,219
87,1178,Fall 2025,671
88,1044,Fall 2025,1125
89,1757,Fall 2025,1184
90,1273,Spring 2026,31
91,1580,Summer 2026,32
92,635,Summer 2026,7
93,1086,Fall 2025,1468
94,1115,Spring 2026,341
95,620,Spring 2026,1733
96,1548,Summer 2026,392
97,700,Spring 2026,1736
98,1811,Summer 2026,115
99,1042,Spring 2026,350
100,1102,Fall 2025,121
101,322,Summer 2026,684
102,1462,Summer 2026,1499
103,1063,Fall 2025,1362
104,811,Fall 2025,1251
105,1845,Summer 2026,248
106,106,Summer 2026,665
107,1967,Summer 2026,663
108,1502,Fall 2025,51
109,193,Fall 2025,1674
110,1543,Fall 2025,1312
111,1234,Spring 2026,1890
112,1234,Fall 2025,424
113,1471,Summer 2026,551
114,944,Spring 2026,1803
115,241,Fall 2025,811
116,1545,Summer 2026,832
117,1817,Spring 2026,344
118,762,Summer 2026,1307
119,1094,Summer 2026,764
120,169,Fall 2025,589
121,1189,Summer 2026,265
122,924,Spring 2026,1539
123,1621,Fall 2025,1926
124,1093,Fall 2025,838
125,1906,Summer 2026,1622
126,110,Spring 2026,1831
127,1591,Spring 2026,1741
128,617,Spring 2026,166
129,604,Summer 2026,846
130,613,Spring 2026,795
131,711,Summer 2026,275
132,355,Spring 2026,439
133,114,Summer 2026,1084
134,1148,Spring 2026,795
135,411,Spring 2026,1849
136,569,Spring 2026,246
137,74,Fall 2025,599
138,626,Spring 2026,177
139,431,Summer 2026,1627
140,1320,Summer 2026,560
141,1451,Fall 2025,1804
142,1541,Spring 2026,1249
143,1849,Summer 2026,1925
144,98,Fall 2025,615
145,1408,Fall 2025,237
146,111,Summer 2026,1333
147,491,Fall 2025,987
148,1398,Spring 2026,475
149,148,Spring 2026,1021
150,247,Summer 2026,868
151,1506,Spring 2026,344
152,1062,Fall 2025,1522
153,1313,Summer 2026,1491
154,1008,Spring 2026,1709
155,1143,Spring 2026,344
156,1852,Spring 2026,1917
157,982,Spring 2026,906
158,1327,Spring 2026,664
159,447,Summer 2026,442
160,466,Summer 2026,675
161,1111,Fall 2025,1867
162,1867,Spring 2026,781
163,1281,Fall 2025,99
164,251,Fall 2025,391
