CourseID,CourseName,credits,DepartmentID
1,Database,3,1
2,Programing,4,2
3,Ai System,3,1
4,Introduction to Networks 5,4,8
5,Advanced Programming 6,2,1
6,Advanced Programming 2,2,8
7,Fundamentals of Data Structures 6,2,8
8,Fundamentals of Cloud Computing 6,3,3
9,Systems in Ethical Hacking 4,4,2
10,Introduction to Data Structures 2,2,4
11,Introduction to Cloud Computing 6,3,7
12,Fundamentals of Cloud Computing 9,2,8
13,Applied Ethical Hacking 3,2,8
14,Fundamentals of Cloud Computing 6,2,7
15,Applied Cloud Computing 5,3,7
16,Advanced Database Systems 3,3,5
17,Fundamentals of Programming 4,3,3
18,Applied Data Structures 5,3,6
19,Applied Ethical Hacking 1,3,5
20,Introduction to Networks 4,3,2
21,Fundamentals of Database Systems 5,4,8
22,Systems in Machine Learning 5,4,8
23,Advanced Programming 3,2,4
24,Fundamentals of Networks 5,4,4
25,Systems in Networks 5,4,5
26,Advanced Networks 9,2,5
27,Fundamentals of Database Systems 8,4,3
28,Introduction to Ethical Hacking 9,2,7
29,Introduction to Programming 6,2,3
30,Advanced Programming 6,4,8
31,Advanced Programming 7,3,3
32,Applied Cloud Computing 2,4,6
33,Systems in Machine Learning 5,3,2
34,Systems in Networks 1,2,4
35,Fundamentals of Cloud Computing 5,4,3
36,Advanced Machine Learning 8,4,2
37,Advanced Programming 7,4,7
38,Advanced Cloud Computing 4,3,1
39,Applied Networks 5,4,1
40,Introduction to Data Structures 4,2,7
41,Advanced Programming 7,4,3
42,Applied Data Structures 1,2,8
43,Systems in Programming 6,4,6
44,Systems in Data Structures 9,2,7
45,Advanced Database Systems 4,2,7
46,Introduction to Database Systems 6,3,2
47,Introduction to Ethical Hacking 3,4,3
48,Applied Ethical Hacking 7,3,2
49,Introduction to Cloud Computing 4,3,7
50,Applied Database Systems 7,4,1
51,Applied Programming 6,2,2
52,Advanced Database Systems 7,3,3
53,Applied Database Systems 4,4,5
54,Systems in Ethical Hacking 1,2,8
55,Applied Data Structures 8,3,8
56,Introduction to Machine Learning 5,3,2
57,Applied Cloud Computing 2,2,5
58,Fundamentals of Ethical Hacking 7,3,8
59,Systems in Programming 3,3,5
60,Advanced Cloud Computing 9,2,6
61,Introduction to Programming 3,4,6
62,Introduction to Cloud Computing 4,3,8
63,Advanced Networks 4,4,5
64,Advanced Machine Learning 6,2,2
65,Introduction to Networks 1,3,2
66,Advanced Cloud Computing 5,3,7
67,Systems in Ethical Hacking 7,2,2
68,Introduction to Programming 9,2,3
69,Fundamentals of Cloud Computing 2,2,3
70,Advanced Data Structures 8,3,1
71,Introduction to Database Systems 7,3,3
72,Introduction to Data Structures 3,3,1
73,Applied Programming 4,2,7
