RoomID,Building,Capacity
134,Building A,60
135,Tech Lab,150
136,Building C,50
137,Tech Lab,50
138,Science Hub,150
139,Building C,150
140,Building A,60
141,Building B,60
142,Science Hub,40
143,Building C,100
144,Science Hub,100
145,Science Hub,150
146,Building A,50
147,Building A,40
148,Building A,100
149,Science Hub,30
150,Building B,100
151,Building A,50
152,Building B,100
153,Building B,50
154,Tech Lab,60
155,Building A,40
156,Science Hub,150
157,Science Hub,50
158,Science Hub,40
159,Building B,30
160,Building B,30
161,Science Hub,100
162,Science Hub,100
163,Building C,30
164,Tech Lab,60
165,Tech Lab,40
166,Building C,60
167,Building C,30
168,Building B,50
169,Science Hub,100
170,Building C,150
171,Building C,60
172,Science Hub,100
173,Science Hub,40
174,Science Hub,30
175,Tech Lab,100
176,Science Hub,60
177,Building A,100
178,Building A,150
179,Science Hub,40
180,Science Hub,100
181,Building A,50
182,Science Hub,40
183,Building A,150
184,Building B,30
185,Science Hub,40
186,Tech Lab,30
187,Building C,50
188,Science Hub,60
189,Building B,150
190,Science Hub,150
191,Building A,30
192,Building A,50
193,Building B,30
194,Building B,40
195,Science Hub,30
196,Tech Lab,150
197,Building A,100
198,Building B,30
199,Building C,30
200,Building C,150
201,Building A,50
202,Building A,100
203,Science Hub,40
204,Building C,150
205,Building C,30
206,Tech Lab,50
207,Building A,100
208,Building C,60
209,Building C,150
210,Tech Lab,40
211,Tech Lab,50
212,Building B,50
213,Building B,30
214,Science Hub,100
215,Building B,100
216,Building B,50
217,Tech Lab,50
218,Building A,30
219,Building C,60
220,Building B,50
221,Building C,50
222,Science Hub,150
223,Science Hub,150
224,Building C,100
225,Science Hub,40
226,Tech Lab,60
227,Building C,50
228,Science Hub,150
229,Building C,50
230,Building A,30
231,Science Hub,100
232,Building B,60
233,Building C,100
234,Building C,50
235,Science Hub,30
236,Building B,30
237,Building A,30
238,Building A,100
239,Building C,60
240,Science Hub,30
241,Building C,150
242,Science Hub,60
243,Building B,60
244,Tech Lab,50
245,Building C,40
246,Building A,40
247,Building A,30
248,Tech Lab,150
249,Science Hub,40
250,Science Hub,150
251,Science Hub,50
252,Science Hub,60
253,Tech Lab,150
254,Tech Lab,150
255,Building B,40
256,Building B,100
257,Tech Lab,50
258,Tech Lab,40
259,Science Hub,100
260,Building B,100
261,Building C,30
262,Tech Lab,100
263,Science Hub,100
264,Science Hub,40
1,A,30
2,B,100
