ScheduleID,SectionID,RoomID,Class_Time,End_Time
1,1,1,1899-12-30 09:00:00,1899-12-30 11:00:00
2,2,2,1899-12-30 11:00:00,1899-12-30 13:00:00
3,3,1,1899-12-30 13:00:00,1899-12-30 15:00:00
8,984,3573,1899-12-30 13:45:00,1899-12-30 15:45:00
10,663,4354,1899-12-30 12:00:00,1899-12-30 14:00:00
12,391,3146,1899-12-30 12:00:00,1899-12-30 14:00:00
14,192,3332,1899-12-30 13:45:00,1899-12-30 15:45:00
16,1975,5952,1899-12-30 13:45:00,1899-12-30 15:45:00
18,1438,2048,1899-12-30 08:30:00,1899-12-30 10:30:00
20,611,862,1899-12-30 13:45:00,1899-12-30 15:45:00
22,741,5883,1899-12-30 12:00:00,1899-12-30 14:00:00
24,468,5703,1899-12-30 08:30:00,1899-12-30 10:30:00
26,196,1689,1899-12-30 13:45:00,1899-12-30 15:45:00
28,201,3996,1899-12-30 13:45:00,1899-12-30 15:45:00
30,975,500,1899-12-30 08:30:00,1899-12-30 10:30:00
32,491,5207,1899-12-30 12:00:00,1899-12-30 14:00:00
34,713,5366,1899-12-30 12:00:00,1899-12-30 14:00:00
36,1496,642,1899-12-30 12:00:00,1899-12-30 14:00:00
38,1217,541,1899-12-30 10:15:00,1899-12-30 12:15:00
40,83,5158,1899-12-30 10:15:00,1899-12-30 12:15:00
42,1369,1308,1899-12-30 13:45:00,1899-12-30 15:45:00
44,58,215,1899-12-30 10:15:00,1899-12-30 12:15:00
46,1426,4086,1899-12-30 13:45:00,1899-12-30 15:45:00
48,893,4471,1899-12-30 10:15:00,1899-12-30 12:15:00
50,604,2652,1899-12-30 12:00:00,1899-12-30 14:00:00
52,427,3216,1899-12-30 10:15:00,1899-12-30 12:15:00
54,1879,1128,1899-12-30 12:00:00,1899-12-30 14:00:00
56,1650,1119,1899-12-30 10:15:00,1899-12-30 12:15:00
58,1417,3192,1899-12-30 12:00:00,1899-12-30 14:00:00
60,795,5698,1899-12-30 10:15:00,1899-12-30 12:15:00
62,1429,2402,1899-12-30 10:15:00,1899-12-30 12:15:00
64,1655,4625,1899-12-30 13:45:00,1899-12-30 15:45:00
66,1659,2700,1899-12-30 08:30:00,1899-12-30 10:30:00
68,937,2442,1899-12-30 13:45:00,1899-12-30 15:45:00
70,1311,3140,1899-12-30 08:30:00,1899-12-30 10:30:00
72,873,3341,1899-12-30 13:45:00,1899-12-30 15:45:00
74,1507,3380,1899-12-30 13:45:00,1899-12-30 15:45:00
76,593,4303,1899-12-30 10:15:00,1899-12-30 12:15:00
78,434,5924,1899-12-30 12:00:00,1899-12-30 14:00:00
80,1559,1607,1899-12-30 13:45:00,1899-12-30 15:45:00
82,650,4812,1899-12-30 12:00:00,1899-12-30 14:00:00
84,604,4287,1899-12-30 10:15:00,1899-12-30 12:15:00
86,1709,1458,1899-12-30 12:00:00,1899-12-30 14:00:00
88,1268,2323,1899-12-30 10:15:00,1899-12-30 12:15:00
